Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"IDP1","YDL066W","mitochondria","194.6","59.0244","mitochondria","275.722","mitochondria","102.858","mitochondria","109.554","#N/A","","mitochondria","217.8","1.11","0","117.9","mitochondria","222.9","1.14","0","38.75","mitochondria","117.41","0.6","0","","mitochondria","mitochondria","210.822","1.08332","0","67.284","Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes"
"ILV3","YJR016C","mitochondria","338.65","108.041","mitochondria","168.7","missing","","missing","","#N/A","0","mitochondria","307.88","0.9","0","102.8","mitochondria","368.92","1.08","0","61.14","mitochondria","262.23","0.77","0","","mitochondria","mitochondria","393.722","1.16258","0","82.7102","Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids"
"IMG1","YCR046C","mitochondria","44.82","10.5482","mitochondria","92.6431","mitochondria","0","missing","27.6744","#N/A","0","mitochondria","47.68","1.06","0","13.74","mitochondria","40.16","0.89","0","7.44","mitochondria","64.69","1.44","1","","mitochondria","mitochondria","54.7772","1.22196","0","13.4221","Mitochondrial ribosomal protein of the large subunit, required for respiration and for maintenance of the mitochondrial genome"
"IMG2","YCR071C","mitochondria","18.22","3.66861","mitochondria","77.6265","mitochondria","0","missing","6.73938","#N/A","","mitochondria","20.08","1.1","0","6.32","mitochondria","16.24","0.89","0","3","mitochondria","18.09","0.99","0","","mitochondria","mitochondria","16.5996","0.910862","0","2.17261","Mitochondrial ribosomal protein of the large subunit"
"INH1","YDL181W","mitochondria","54.29","28.2149","mitochondria","209.129","mitochondria","75.288","cytosol","360.087","#N/A","71.8825","mitochondria","66.97","1.23","0","30.89","mitochondria","52.16","0.96","0","12.95","mitochondria","111.8","2.05","1","","mitochondria","mitochondria","34.4511","0.634508","-1","9.74989","Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has similarity to Stf1p; has a calmodulin-binding motif and binds calmodulin in vitro"
"ISA1","YLL027W","mitochondria","56.46","13.001","mitochondria","67.6038","missing","0","missing","","#N/A","30.678","mitochondria","53.35","0.94","0","16.81","mitochondria","46.65","0.82","0","8.74","mitochondria","73.2","1.29","0","","mitochondria","mitochondria","51.8035","0.917475","0","7.01869","Mitochondrial matrix protein involved in biogenesis of the iron-sulfur (Fe/S) cluster of Fe/S proteins, isa1 deletion causes loss of mitochondrial DNA and respiratory deficiency; depletion reduces growth on nonfermentable carbon sources"
"ISA2","YPR067W","mitochondria","32.07","6.36267","mitochondria","94.0327","missing","22.3184","mitochondria","","#N/A","0","mitochondria","31.84","0.99","0","10.95","mitochondria","29.3","0.91","0","5.51","mitochondria","46.89","1.46","1","","mitochondria","mitochondria","33.2492","1.03633","0","7.99361","Protein required for maturation of mitochondrial and cytosolic Fe/S proteins, localizes to the mitochondrial intermembrane space, overexpression of ISA2 suppresses grx5 mutations"
"ISD11","YER048W-A","mitochondria","93.51","30.7958","","","","","","","","","mitochondria","124.49","1.33","0","42.21","mitochondria","118.59","1.26","0","20.68","mitochondria","120.86","1.29","0","","mitochondria","mitochondria","75.9166","0.811759","0","12.226","Protein required for mitochondrial iron-sulfur cluster biosynthesis"
"ISU1","YPL135W","mitochondria","341.95","108.01","mitochondria","70.3948","mitochondria","119.165","mitochondria","52.3673","#N/A","36.8167","mitochondria","324.43","0.94","0","157.49","mitochondria","390.13","1.14","0","89.11","mitochondria","384.14","1.12","0","","mitochondria","mitochondria","237.888","0.695662","-1","45.9369","Conserved protein of the mitochondrial matrix, performs a scaffolding function during assembly of iron-sulfur clusters, interacts physically and functionally with yeast frataxin (Yfh1p); isu1 isu2 double mutant is inviable"
"JAC1","YGL018C","mitochondria","29.4","6.3462","mitochondria","93.7984","missing","0","missing","","#N/A","","mitochondria","27.86","0.94","0","9.96","mitochondria","25.79","0.87","0","5.27","mitochondria","28.8","0.97","0","","mitochondria","mitochondria","30.0481","1.02166","0","4.71342","Specialized J-protein that functions with Hsp70 in Fe-S cluster biogenesis in mitochondria, involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix"
"KGD2","YDR148C","mitochondria","56.59","24.6577","mitochondria","172.899","mitochondria","34.2486","mitochondria","347.185","#N/A","89.3782","mitochondria","81.23","1.43","1","46.77","mitochondria","54.62","0.96","0","15.13","mitochondria","100.99","1.78","1","","mitochondria","mitochondria","75.7909","1.33888","1","25.3156","Dihydrolipoyl transsuccinylase, component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated"
"LAP3","YNL239W","cytosol, mitochondria","48.31","12.4598","cytosol","315.383","cytosol","30.2477","punctate","337.41","#N/A","0","cytosol, mitochondria","49.39","1.02","0","16.11","cytosol, mitochondria","50.09","1.03","0","16.2","nucleus","","","","","cytosol, mitochondria","cytosol, mitochondria","57.834","1.19701","0","21.9878","Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose via Gal4p; orthologous to human BLMH"
"LAT1","YNL071W","mitochondria","55.04","16.3023","mitochondria","268.808","mitochondria","39.4566","ambiguous,punctate","418.097","#N/A","54.204","mitochondria","69.54","1.26","0","28.51","mitochondria","46.52","0.84","0","10.75","mitochondria","","","","","mitochondria","mitochondria","68.967","1.25285","0","18.0487","Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA"
"LCL3","YGL085W","mitochondria","21.41","5.96939","punctate,vacuole,mitochondria","21.4252","below threshold","17.3594","mitochondria","6.49571","#N/A","0","mitochondria","21.35","0.99","0","8.86","mitochondria","19.5","0.91","0","3.69","mitochondria","17.52","0.81","-1","","mitochondria","mitochondria","25.8908","1.20863","0","5.15092","Putative protein of unknown function, has homology to Staphylococcus aureus nuclease; green fluorescent protein (GFP)-fusion protein localizes to mitochondria and is induced in response to the DNA-damaging agent MMS"
"LEU5","YHR002W","mitochondria","14.92","3.70976","mitochondria","29.8467","mitochondria","20.3624","mitochondria","31.1704","#N/A","0","mitochondria","16.9","1.13","0","5.7","mitochondria","14.51","0.97","0","2.88","mitochondria","22.43","1.5","0","","mitochondria","mitochondria","15.6787","1.05054","0","2.55988","Mitochondrial carrier protein involved in the accumulation of CoA in the mitochondrial matrix; homolog of human Graves disease protein; does not encode an isozyme of Leu4p, as first hypothesized"
"LEU9","YOR108W","mitochondria","69.97","23.1628","mitochondria","144.381","mitochondria","56.8069","cytosol,nucleus","236.604","#N/A","76.8493","mitochondria","47.08","0.67","0","15.1","punctate","","","0","","punctate","","","","","mitochondria","mitochondria","90.1155","1.28779","0","11.1097","Alpha-isopropylmalate synthase II (2-isopropylmalate synthase), catalyzes the first step in the leucine biosynthesis pathway; the minor isozyme, responsible for the residual alpha-IPMS activity detected in a leu4 null mutant"
"LIP2","YLR239C","mitochondria","17.74","5.05515","mitochondria","97.9159","mitochondria","24.6608","ambiguous,mitochondria","63.5978","#N/A","32.758","mitochondria","20.27","1.14","0","5.73","mitochondria","19.81","1.11","0","3.14","mitochondria","19.97","1.12","0","","mitochondria","mitochondria","19.7839","1.11463","0","2.88372","Lipoyl ligase, involved in the modification of mitochondrial enzymes by the attachment of lipoic acid groups"
"LIP5","YOR196C","mitochondria","48.98","14.1707","mitochondria","118.337","mitochondria","33.6311","nucleus,mitochondria","111.279","#N/A","46.0317","mitochondria","50.57","1.03","0","15.65","mitochondria","44.74","0.91","0","8.44","mitochondria","","","","","mitochondria","mitochondria","53.8912","1.1001","0","7.73179","Protein involved in biosynthesis of the coenzyme lipoic acid, has similarity to E. coli lipoic acid synthase"
"LPD1","YFL018C","mitochondria","161.92","68.2755","mitochondria","163.981","mitochondria","62.9032","cytosol,punctate","37.0111","#N/A","31.8161","mitochondria","225.82","1.39","0","136.3","mitochondria","127.36","0.78","0","35.84","mitochondria","158.58","0.97","0","","mitochondria","mitochondria","167.322","1.03335","0","46.2468","Dihydrolipoamide dehydrogenase, the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes"
"LSC1","YOR142W","mitochondria","62.26","21.2533","mitochondria","126.595","missing","","missing","","#N/A","","mitochondria","94.11","1.51","1","44.32","mitochondria","60.3","0.96","0","12.68","mitochondria","86.71","1.39","1","","mitochondria","mitochondria","67.1851","1.07898","0","11.9473","Alpha subunit of succinyl-CoA ligase, which is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate; phosphorylated"
"LSC2","YGR244C","mitochondria","92.22","26.8729","mitochondria","201.066","mitochondria","41.3324","cytosol,punctate,vacuole","133.416","#N/A","42.5808","mitochondria","152.9","1.65","1","62.04","mitochondria","89.65","0.97","0","18.71","mitochondria","122.19","1.32","0","","mitochondria","mitochondria","107.977","1.17063","0","21.5171","Beta subunit of succinyl-CoA ligase, which is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate"
"LYS12","YIL094C","mitochondria","230.98","68.396","mitochondria","98.1762","missing","15.9498","below threshold","","#N/A","","mitochondria","310.57","1.34","0","105.63","mitochondria","151.16","0.65","0","43.18","mitochondria","311.97","1.35","0","","mitochondria","mitochondria","275.859","1.19428","0","69.6765","Homo-isocitrate dehydrogenase, an NAD-linked mitochondrial enzyme required for the fourth step in the biosynthesis of lysine, in which homo-isocitrate is oxidatively decarboxylated to alpha-ketoadipate"
"MAE1","YKL029C","mitochondria","73.08","22.1199","mitochondria","115.557","mitochondria","116.187","cytosol,punctate","119.38","#N/A","68.493","mitochondria","52.45","0.71","0","21.39","mitochondria","98.65","1.34","1","20.13","mitochondria","84.74","1.15","0","","mitochondria","mitochondria","83.0249","1.13587","0","17.4732","Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids"
"MAK16","YAL025C","mitochondria","35.7","10.4573","punctate,nucleus","126.102","missing","18.0822","punctate,nucleolus","0","nucleus,nucleolus","41.8846","mitochondria","34.91","0.97","0","14.12","mitochondria","39.51","1.1","0","7.35","mitochondria","41.94","1.17","0","","mitochondria","mitochondria","","","0","","Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
"MAS2","YHR024C","mitochondria","61.44","17.5336","mitochondria","71.9546","missing","21.0345","below threshold","","#N/A","33.3511","mitochondria","75.91","1.23","0","27.79","mitochondria","61.64","1","0","7.91","mitochondria","46.65","0.75","0","","mitochondria","mitochondria","74.6913","1.21544","0","10.5842","Larger subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins"
"MCR1","YKL150W","mitochondria","23.22","7.56696","mitochondria","157.249","mitochondria","65.4847","ambiguous,mitochondria","291.358","#N/A","80.4224","mitochondria","36.66","1.57","1","17.39","mitochondria","25.69","1.1","0","5.57","mitochondria","41.34","1.77","1","","mitochondria","mitochondria","25.581","1.10116","0","4.16288","Mitochondrial NADH-cytochrome b5 reductase, involved in ergosterol biosynthesis"
"MCX1","YBR227C","mitochondria","34.21","8.19567","mitochondria","130.126","mitochondria","37.0573","cytosol,punctate","98.2162","#N/A","46.8541","mitochondria","41.1","1.2","0","14.75","mitochondria","32.27","0.94","0","5.43","mitochondria","35.17","1.02","0","","mitochondria","mitochondria","41.1091","1.20165","0","4.56915","Mitochondrial matrix protein; putative ATP-binding chaperone with non-proteolytic function; similar to bacterial ClpX proteins"
"MDH1","YKL085W","mitochondria","257.7","100.276","mitochondria","107.098","mitochondria","34.1161","cytosol,mitochondria","43.3417","#N/A","34.5756","mitochondria","362.02","1.4","0","176.97","mitochondria","241.92","0.93","0","48.34","mitochondria","317.78","1.23","0","","mitochondria","mitochondria","263.211","1.02133","0","77.3662","Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated"
"MDJ1","YFL016C","mitochondria","60.8","23.542","mitochondria","74.6221","missing","","missing","","#N/A","45.5522","mitochondria","63.2","1.03","0","31.85","mitochondria","61.01","1","0","15.15","mitochondria","140.72","2.31","1","","mitochondria","mitochondria","46.3037","0.761436","0","6.39711","Co-chaperone that stimulates the ATPase activity of the HSP70 protein Ssc1p; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones"
"MDJ2","YNL328C","mitochondria","24.01","6.2584","below threshold","24.5177","cytosol","19.1763","below threshold","9.67708","below threshold","24.9734","mitochondria","21.83","0.9","0","7.37","mitochondria","18.81","0.78","-1","4.43","mitochondria","19.14","0.79","0","","mitochondria","mitochondria","18.7909","0.782385","0","3.20499","Constituent of the mitochondrial import motor associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain"
"MDL2","YPL270W","mitochondria","28.98","8.7424","","","","","","","","","mitochondria","31.78","1.09","0","10.36","vacuole membrane","29.96","1.03","0","5.37","mitochondria","40.08","1.38","1","","mitochondria","mitochondria","23.953","0.82626","0","3.64414","Mitochondrial inner membrane half-type ATP-binding cassette (ABC) transporter, required for respiratory growth at high temperature; similar to human TAP1 and TAP2 implicated in bare lymphocyte syndrome and Wegener-like granulomatosis"
"MDM32","YOR147W","mitochondria","20.51","3.41852","mitochondria","31.5451","mitochondria","25.3299","mitochondria","5.24081","#N/A","24.3041","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","Mitochondrial inner membrane protein with similarity to Mdm31p, required for normal mitochondrial morphology and inheritance; interacts genetically with MMM1, MDM10, MDM12, and MDM34"
"MEF2","YJL102W","mitochondria","29.44","7.38618","","","","","","","","","mitochondria","","","0","","mitochondria","","","0","","punctate","","","","","mitochondria","mitochondria","","","0","","Mitochondrial elongation factor involved in translational elongation"
"MFB1","YDR219C","mitochondria","26.18","5.36645","mitochondria","38.1081","mitochondria","22.4435","punctate,mitochondria","24.8375","below threshold","27.5683","mitochondria","27.73","1.05","0","10.16","mitochondria","27.24","1.04","0","4.83","mitochondria","17.98","0.68","-1","","mitochondria","mitochondria","29.6996","1.13405","0","5.15535","Mitochondria-associated F-box protein involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding"
"MGM101","YJR144W","mitochondria","64.38","25.3067","mitochondria","107.779","mitochondria","","missing","155.807","#N/A","45.0459","mitochondria","63.72","0.98","0","33.94","mitochondria","97.02","1.5","1","14.96","mitochondria","107.6","1.67","1","","mitochondria","mitochondria","","","0","","Protein involved in mitochondrial genome maintenance; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage"
"MGR1","YCL044C","mitochondria","20.36","4.20463","mitochondria","59.748","mitochondria","28.5278","mitochondria","27.6306","#N/A","","mitochondria","29.46","1.44","0","12.34","mitochondria","23.18","1.13","0","3.85","mitochondria","19.95","0.97","0","","mitochondria","mitochondria","23.5512","1.15649","0","3.07179","Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr3p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA"
"MGR3","YMR115W","mitochondria","19.91","4.7553","mitochondria","106.544","mitochondria","27.4562","mitochondria","79.738","#N/A","38.0022","mitochondria","21.72","1.09","0","9.22","mitochondria","17.84","0.89","0","2.78","mitochondria","18.6","0.93","0","","mitochondria","mitochondria","22.6449","1.13675","0","2.94927","Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr1p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA"
"MHR1","YDR296W","mitochondria","77.47","17.4095","cytosol","75.9238","cytosol","16.508","below threshold","68.4038","#N/A","","mitochondria","90.11","1.16","0","29.61","mitochondria","63.16","0.81","0","12.93","mitochondria","102.8","1.32","0","","mitochondria","mitochondria","69.9648","0.903058","0","8.87542","Protein involved in homologous recombination in mitochondria and in transcription regulation in nucleus; binds to activation domains of acidic activators; required for recombination-dependent mtDNA partitioning"
"MIP1","YOR330C","mitochondria","26.72","7.9757","mitochondria","32.316","mitochondria","","missing","23.4987","#N/A","0","mitochondria","22.9","0.85","0","7.06","mitochondria","30.04","1.12","0","5.06","mitochondria","28.5","1.06","0","","mitochondria","mitochondria","27.6642","1.03461","0","4.92458","Catalytic subunit of the mitochondrial DNA polymerase; conserved C-terminal segment is required for the maintenance of mitochondrial genome; related to human POLG, which has been associated with mitochondrial diseases"
"MIR1","YJR077C","mitochondria","143.81","43.252","cytosol","48.3641","cytosol","35.4168","cytosol","61.6146","below threshold","25.4178","mitochondria","110.42","0.76","0","41.36","mitochondria","110.52","0.76","0","28.99","mitochondria","70","0.48","-1","","mitochondria","mitochondria","98.307","0.683572","-1","26.676","Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"
"MIS1","YBR084W","mitochondria","69.9","20.524","mitochondria","63.5126","mitochondria","20.751","cytosol,mitochondria","4.0169","#N/A","24.3064","mitochondria","54.4","0.77","0","17.46","mitochondria","53.36","0.76","0","9.57","mitochondria","27.24","0.38","-1","","mitochondria","mitochondria","64.0887","0.916681","0","11.6023","Mitochondrial C1-tetrahydrofolate synthase, involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"
"MMT1","YMR177W","mitochondria","21.45","6.71849","mitochondria","67.2921","mitochondria","18.1439","ambiguous,mitochondria","94.6407","#N/A","35.0616","mitochondria","","","0","","mitochondria","","","0","","mitochondria","","","","","mitochondria","mitochondria","","","0","","Putative metal transporter involved in mitochondrial iron accumulation; closely related to Mmt2p"
"MNP1","YGL068W","mitochondria","125.61","27.4506","mitochondria","120.731","missing","92.2359","punctate,vacuole membrane,mitochondria","0","#N/A","69.8722","mitochondria","91.88","0.73","0","40.09","mitochondria","69.68","0.55","-1","12.14","mitochondria","127.05","1.01","0","","mitochondria","mitochondria","92.3938","0.735531","0","26.0312","Protein associated with the mitochondrial nucleoid; putative mitochondrial ribosomal protein with similarity to E. coli L7/L12 ribosomal protein; required for normal respiratory growth"
"MRF1","YGL143C","mitochondria","25.49","6.42316","mitochondria","59.9208","missing","21.6943","mitochondria","0","#N/A","45.5799","mitochondria","25.8","1.01","0","9.33","mitochondria","26.7","1.04","0","4.27","mitochondria","20.19","0.79","0","","mitochondria","mitochondria","26.5162","1.03978","0","3.54259","Mitochondrial translation release factor, involved in stop codon recognition and hydrolysis of the peptidyl-tRNA bond during mitochondrial translation; lack of MRF1 causes mitochondrial genome instability"
"MRM1","YOR201C","mitochondria","27.7","6.28658","mitochondria","59.3993","mitochondria","91.2531","mitochondria","42.1591","#N/A","27.5812","mitochondria","24.85","0.89","0","6.92","mitochondria","24.61","0.88","0","3.19","mitochondria","22.65","0.81","0","","mitochondria","mitochondria","29.3934","1.061","0","3.39164","Ribose methyltransferase that modifies a functionally critical, conserved nucleotide in mitochondrial 21S rRNA"
"MRM2","YGL136C","mitochondria","20.28","4.80322","mitochondria","57.7736","missing","17.8214","mitochondria","","#N/A","27.8859","mitochondria","18.86","0.93","0","5.95","mitochondria","16.47","0.81","0","4.21","mitochondria","19.43","0.95","0","","mitochondria","mitochondria","18.9006","0.931626","0","2.53427","Mitochondrial 2' O-ribose methyltransferase, required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ"
"MRP20","YDR405W","mitochondria","49.22","13.5229","mitochondria","28.878","mitochondria","21.5401","cytosol,punctate","6.97011","#N/A","25.0445","mitochondria","52.61","1.06","0","17.47","mitochondria","47.44","0.96","0","7.61","mitochondria","41.87","0.85","0","","mitochondria","mitochondria","52.9428","1.07547","0","7.86406","Mitochondrial ribosomal protein of the large subunit"
"MRP4","YHL004W","mitochondria","48.12","11.2811","mitochondria","71.7719","mitochondria","18.2201","below threshold","96.011","#N/A","38.6193","mitochondria","47.21","0.98","0","13.08","mitochondria","56.38","1.17","0","8.87","mitochondria","76.58","1.59","1","","mitochondria","mitochondria","51.1903","1.0636","0","7.61701","Mitochondrial ribosomal protein of the small subunit"
"MRP49","YKL167C","mitochondria","64.68","14.0705","cytosol","79.5318","cytosol","36.4882","cytosol","","cytosol","33.2762","mitochondria","79.47","1.22","0","22.89","mitochondria","53.37","0.82","0","9.78","mitochondria","82.9","1.28","0","","mitochondria","mitochondria","50.552","0.781432","0","8.44573","Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation"
"MRP51","YPL118W","mitochondria","49.66","12.1352","vacuole membrane","29.6009","cell periphery,vacuole","20.4769","punctate","6.47735","#N/A","0","mitochondria","47.08","0.94","0","16.85","mitochondria","49.92","1","0","8.06","mitochondria","46.96","0.94","0","","mitochondria","mitochondria","55.549","1.1184","0","6.88467","Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences"
"MRP7","YNL005C","mitochondria","63.4","16.493","mitochondria","81.8421","mitochondria","17.9305","nucleus,mitochondria","0","#N/A","0","mitochondria","71.92","1.13","0","18.71","mitochondria","71.94","1.13","0","12.47","mitochondria","107.2","1.69","1","","mitochondria","mitochondria","61.4519","0.969116","0","8.51241","Mitochondrial ribosomal protein of the large subunit"
"MRPL1","YDR116C","mitochondria","51.05","16.4164","cytosol,nucleus","55.0831","cytosol,nucleus","18.8398","below threshold","13.9304","cytosol,nucleus","29.2268","mitochondria","61.07","1.19","0","19.41","mitochondria","47.26","0.92","0","8.78","mitochondria","52.45","1.02","0","","mitochondria","mitochondria","54.6231","1.06977","0","11.0782","Mitochondrial ribosomal protein of the large subunit"
"MRPL10","YNL284C","mitochondria","59.83","16.3612","mitochondria","26.8307","cell periphery,vacuole","18.363","punctate","0","#N/A","","mitochondria","67.18","1.12","0","17.77","mitochondria","66.48","1.11","0","12.05","mitochondria","56.38","0.94","0","","mitochondria","mitochondria","63.4103","1.05976","0","11.4114","Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL10 and YmL18) on two-dimensional SDS gels"
"MRPL11","YDL202W","mitochondria","53.33","12.7425","mitochondria","88.6646","mitochondria","","missing","127.662","#N/A","32.7121","mitochondria","66.84","1.25","0","19.14","vacuole","46.56","0.87","0","7.08","mitochondria","44.35","0.83","0","","mitochondria","mitochondria","56.732","1.0636","0","10.7312","Mitochondrial ribosomal protein of the large subunit"
"MRPL13","YKR006C","mitochondria","21.21","4.67235","mitochondria","76.5045","missing","","missing","","#N/A","38.2668","mitochondria","20.36","0.95","0","7.01","mitochondria","18.66","0.87","0","4.35","mitochondria","16.46","0.77","-1","","mitochondria","mitochondria","21.7269","1.02371","0","3.68721","Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation"
"MRPL15","YLR312W-A","mitochondria","50.71","15.3282","mitochondria","60.7638","mitochondria","0","missing","127.564","#N/A","39.4783","mitochondria","47.83","0.94","0","19.18","mitochondria","54.78","1.08","0","7.9","mitochondria","51.05","1","0","","mitochondria","mitochondria","53.7319","1.05936","0","6.40776","Mitochondrial ribosomal protein of the large subunit"
"MRPL16","YBL038W","mitochondria","39.95","8.14923","mitochondria","74.6906","missing","28.304","cytosol,mitochondria","","#N/A","","mitochondria","39.51","0.98","0","20.77","mitochondria","23.11","0.57","-1","4.07","mitochondria","27.85","0.69","0","","mitochondria","mitochondria","33.7196","0.843983","0","5.833","Mitochondrial ribosomal protein of the large subunit"
"MRPL19","YNL185C","mitochondria","51.24","11.4985","mitochondria","69.6289","mitochondria","23.8816","punctate","18.002","#N/A","","mitochondria","45.08","0.87","0","12.53","mitochondria","42.19","0.82","0","9.08","mitochondria","38.35","0.74","0","","mitochondria","mitochondria","43.1976","0.842996","0","6.36302","Mitochondrial ribosomal protein of the large subunit"
"MRPL22","YNL177C","mitochondria","43.06","11.467","mitochondria","83.9677","missing","0","missing","0","#N/A","26.6044","mitochondria","51.18","1.18","0","18.55","mitochondria","44.07","1.02","0","8.36","mitochondria","43.17","1","0","","mitochondria","mitochondria","45.1621","1.04842","0","9.38766","Mitochondrial ribosomal protein of the large subunit"
"MRPL23","YOR150W","mitochondria","52.16","12.4549","nucleus","28.2475","missing","21.542","below threshold","","#N/A","","mitochondria","54.29","1.04","0","16.57","vacuole","51.1","0.97","0","9.81","mitochondria","45.81","0.87","0","","mitochondria","mitochondria","54.8928","1.05227","0","7.44933","Mitochondrial ribosomal protein of the large subunit"
"MRPL25","YGR076C","mitochondria","39.65","7.44106","nucleus","25.0548","nucleus","20.3218","below threshold","","#N/A","","mitochondria","32.22","0.81","0","11.43","mitochondria","32.45","0.81","0","5.27","mitochondria","36.92","0.93","0","","mitochondria","mitochondria","40.3798","1.01822","0","5.50936","Mitochondrial ribosomal protein of the large subunit"
"MRPL28","YDR462W","mitochondria","48.18","9.51935","mitochondria","71.8314","mitochondria","89.257","mitochondria","7.41278","#N/A","","mitochondria","51.21","1.06","0","14.92","mitochondria","34.93","0.72","0","4.73","mitochondria","48.93","1.01","0","","mitochondria","mitochondria","41.186","0.854722","0","5.00304","Mitochondrial ribosomal protein of the large subunit"
"MRPL3","YMR024W","mitochondria","68.75","18.2651","mitochondria","60.4197","missing","","missing","0","#N/A","32.4856","mitochondria","","","0","","mitochondria","46.46","0.67","0","6.44","mitochondria","","","","","mitochondria","mitochondria","68.2989","0.993311","0","9.57716","Mitochondrial ribosomal protein of the large subunit"
"MRPL31","YKL138C","mitochondria","54.89","13.1914","mitochondria","68.1413","missing","","missing","0","#N/A","23.7403","mitochondria","55.8","1.01","0","18.68","mitochondria","42.1","0.76","0","6.13","mitochondria","52.53","0.95","0","","mitochondria","mitochondria","49.6681","0.90482","0","6.71734","Mitochondrial ribosomal protein of the large subunit"
"MRPL32","YCR003W","mitochondria","60.48","12.2488","mitochondria","71.934","missing","23.523","below threshold","","#N/A","27.4541","mitochondria","56.38","0.93","0","19.73","mitochondria","52.67","0.87","0","8.16","mitochondria","64.52","1.06","0","","mitochondria","mitochondria","72.412","1.19708","0","15.6847","Mitochondrial ribosomal protein of the large subunit"
